dataset,strategy,rank,improvability,norm_score
mic,baseline_lightgbm,4.0,1.2,0.305
mic,combined_lightgbm,5.0,1.6,0.101
mic,baseline_xgboost,6.0,2.0,0.0
mic,baseline_tabpfn,7.0,2.9,0.0
mic,embed-only_catboost,8.0,5.5,0.0
mic,embed-only_xgboost,9.0,6.2,0.0
mic,embed-only_lightgbm,10.0,7.0,0.0
naticusdroid,baseline_tabpfn,1.0,0.0,1.0
naticusdroid,baseline_lightgbm,2.0,18.5,0.426
naticusdroid,baseline_catboost,3.0,18.9,0.41
naticusdroid,baseline_xgboost,4.0,21.2,0.316
naticusdroid,combined_lightgbm,5.0,22.0,0.283
naticusdroid,combined_catboost,6.0,33.6,0.0
naticusdroid,combined_xgboost,7.0,35.3,0.0
naticusdroid,embed-only_lightgbm,8.0,43.2,0.0
naticusdroid,embed-only_xgboost,9.0,49.4,0.0
naticusdroid,embed-only_catboost,10.0,49.7,0.0
online_shoppers_intention,baseline_tabpfn,1.0,0.0,1.0
online_shoppers_intention,combined_lightgbm,2.0,1.9,0.66
online_shoppers_intention,combined_catboost,3.0,4.4,0.203
online_shoppers_intention,combined_xgboost,4.0,4.5,0.182
online_shoppers_intention,baseline_lightgbm,5.0,4.8,0.139
online_shoppers_intention,embed-only_catboost,6.0,6.2,0.0
online_shoppers_intention,embed-only_xgboost,7.0,6.4,0.0
online_shoppers_intention,baseline_xgboost,8.0,7.1,0.0
online_shoppers_intention,embed-only_lightgbm,9.0,7.4,0.0
online_shoppers_intention,baseline_catboost,10.0,8.2,0.0
physiochemical_protein,combined_catboost,1.0,0.0,1.0
physiochemical_protein,embed-only_catboost,2.0,0.1,0.831
physiochemical_protein,combined_lightgbm,3.0,0.3,0.278
physiochemical_protein,embed-only_lightgbm,4.0,0.3,0.205
physiochemical_protein,combined_xgboost,5.0,0.3,0.168
physiochemical_protein,baseline_tabpfn,6.0,0.4,0.0
physiochemical_protein,embed-only_xgboost,7.0,0.5,0.0
