dataset,task_type,algorithm,mode,dataset_samples_count,dataset_raw_features_count,pca_n_components,feat_total_count,feat_share_embedded_pct,feat_share_raw_pct,primary_metric,eval_primary_value,tabpfn_primary_score,eval_primary_delta_pct
givemesomecredit,binary,catboost,combined,150000,10,20,30,44.086606667334415,55.91339333266556,1-AUROC,0.1265462259692793,0.1252634532618267,1.024059830740353
givemesomecredit,binary,lightgbm,combined,150000,10,20,30,38.94249168496126,61.05750831503874,1-AUROC,0.1264523367416429,0.1252634532618267,0.9491064223905326
givemesomecredit,binary,xgboost,combined,150000,10,20,30,34.645496854591975,65.35450314540803,1-AUROC,0.1264808420099954,0.1252634532618267,0.9718626753998896
hazelnut-spread-contaminant-detection,binary,catboost,combined,2400,30,48,78,73.95969498077066,26.040305019229333,1-AUROC,0.0115277777777778,0.0028993055555555,297.6047904191689
hazelnut-spread-contaminant-detection,binary,lightgbm,combined,2400,30,48,78,60.31873712341816,39.681262876581854,1-AUROC,0.0085937499999999,0.0028993055555555,196.4071856287457
hazelnut-spread-contaminant-detection,binary,xgboost,combined,2400,30,48,78,69.0796709871426,30.9203290128574,1-AUROC,0.0096354166666665,0.0028993055555555,232.3353293413191
healthcare_insurance_expenses,regression,catboost,combined,1338,6,25,31,68.12191416045863,31.87808583954136,RMSE,3573.933970459071,3491.62800426432,2.357237543467724
healthcare_insurance_expenses,regression,lightgbm,combined,1338,6,25,31,75.94057222700181,24.05942777299816,RMSE,3542.175967455131,3491.62800426432,1.447690393394626
healthcare_insurance_expenses,regression,xgboost,combined,1338,6,25,31,79.31911006327994,20.68088993672005,RMSE,3547.3655325965483,3491.62800426432,1.5963192030810949
heloc,binary,catboost,combined,10459,23,21,44,36.43774323662142,63.56225676337858,1-AUROC,0.1963118131868131,0.1908063186813188,2.885383745959424
heloc,binary,lightgbm,combined,10459,23,21,44,32.48614934912087,67.5138506508791,1-AUROC,0.1919084249084249,0.1908063186813188,0.5776046803496462
heloc,binary,xgboost,combined,10459,23,21,44,31.63899828588036,68.36100171411962,1-AUROC,0.194944597069597,0.1908063186813188,2.1688371836311453
hiva_agnostic,multiclass,catboost,combined,3845,1617,49,1666,37.71194838185925,62.288051618140734,Log_Loss,0.1802148763254918,0.1799557261900017,0.1440077184409723
